Open,High,Low,Ltp,per_change,Qty
878.3517,903.29395,872.6958,875.6708,1.7565862,7509.7075
877.4999,902.6246,872.1684,874.9177,1.76945,7676.4272
877.94714,903.4301,872.77045,875.35583,1.7955174,8476.894
879.18994,905.07544,874.0197,876.51447,1.8297703,9640.442
880.8026,907.05524,875.5334,878.0075,1.8675672,10950.402
882.4968,909.05133,877.0697,879.5799,1.9052504,12263.083
884.1209,910.9153,878.5155,881.10236,1.9404056,13505.413
885.6218,912.61285,879.84424,882.5325,1.9714413,14652.137
887.00885,914.17596,881.0795,883.8807,1.9976034,15708.799
888.3167,915.6578,882.2601,885.1768,2.0186245,16690.926
889.57434,917.0961,883.414,886.4426,2.034304,17613.152
890.80005,918.51184,884.55664,887.6893,2.0447488,18485.734
891.9983,919.9068,885.6876,888.91455,2.0502129,19309.096
893.1592,921.2652,886.794,890.10425,2.0510607,20079.969
894.2615,922.55774,887.85297,891.2344,2.0475812,20789.49
895.28436,923.75745,888.8433,892.2831,2.0402892,21430.326
896.2082,924.8395,889.7454,893.2302,2.0297093,21995.295
897.01764,925.7846,890.54474,894.0608,2.0164256,22481.113
897.7039,926.5828,891.2326,894.7664,2.0010478,22885.912
898.2617,927.2279,891.8035,895.3423,1.9840777,23210.309
898.6945,927.7243,892.2606,895.7918,1.966195,23460.104
899.00885,928.0802,892.60895,896.1216,1.9479722,23640.838
899.2136,928.3067,892.8562,896.3406,1.9299256,23759.555
899.31537,928.4112,893.0074,896.4556,1.9123346,23822.67
899.3274,928.41016,893.07416,896.47974,1.8956453,23838.293
899.2621,928.31866,893.0669,896.4254,1.8801819,23814.072
899.13196,928.15155,892.9964,896.3049,1.8661865,23757.594
898.9465,927.9199,892.8712,896.128,1.8537526,23676.143
898.7211,927.6433,892.7048,895.9099,1.8431295,23576.217
898.4615,927.32715,892.50195,895.6567,1.8341485,23462.84
898.1792,926.98615,892.2732,895.37994,1.826843,23340.994
897.88403,926.6317,892.02783,895.0895,1.8211881,23216.893
897.585,926.27484,891.77435,894.79456,1.8171258,23095.135
897.2901,925.9244,891.5199,894.5028,1.8145496,22979.412
897.0067,925.5897,891.27155,894.22186,1.8133646,22872.896
896.73865,925.2746,891.03345,893.95557,1.8133705,22778.303
896.49225,924.9869,890.81146,893.7103,1.8144726,22697.223
896.26984,924.7289,890.60834,893.48865,1.8164742,22631.057
896.07336,924.50244,890.4258,893.2922,1.819168,22579.703
895.9053,924.31067,890.26715,893.1238,1.8224549,22544.82
895.7663,924.154,890.13354,892.9841,1.8261892,22526.408
895.6565,924.0323,890.025,892.87317,1.8302203,22523.453
895.5763,923.9458,889.94214,892.7914,1.8344469,22534.867
895.52246,923.8905,889.88354,892.7361,1.838723,22561.508
895.4938,923.8645,889.8476,892.7057,1.8429432,22601.04
895.4884,923.8659,889.83295,892.69836,1.8470136,22650.99
895.5044,923.8921,889.83795,892.71234,1.850873,22710.305
895.5409,923.9424,889.8619,892.74646,1.8545198,22777.688
