Open,High,Low,Close,per_change,Qty,EPS,PE
678.0,666.0,658.0,660.0,0.0,3547.0,17.94,36.7892976588629
660.0,660.0,647.0,651.0,0.0,5758.0,17.94,36.2876254180602
651.0,655.0,644.0,646.0,0.0,6085.0,17.94,36.0089186176143
646.0,651.0,642.0,648.0,0.0,6977.0,17.94,36.1204013377926
648.0,651.0,643.0,648.0,0.0,3303.0,17.94,36.1204013377926
648.0,650.0,633.0,635.0,0.0,6063.0,17.94,35.3957636566332
635.0,636.0,624.0,627.0,0.0,6771.0,17.94,34.9498327759197
627.0,626.0,610.0,615.0,0.0,10593.0,17.94,34.2809364548495
615.0,615.0,600.0,609.0,0.0,19957.0,17.94,33.9464882943144
609.0,620.0,608.0,610.0,0.0,6749.0,17.94,34.0022296544036
610.0,620.0,608.0,614.0,0.0,2568.0,17.94,34.2251950947603
614.0,618.0,606.0,612.0,0.0,9272.0,17.94,34.1137123745819
612.0,612.0,595.0,596.0,0.0,6455.0,17.94,33.221850613155
596.0,606.0,580.0,582.0,0.0,10255.0,17.94,32.4414715719064
582.0,598.0,587.0,591.0,0.0,19889.0,17.94,32.943143812709
591.0,592.0,585.0,587.0,0.0,6912.0,17.94,32.7201783723523
587.0,595.0,582.0,586.0,0.0,12668.0,17.94,32.6644370122631
586.0,592.0,570.0,570.0,0.0,15963.0,17.94,31.7725752508361
570.0,579.0,570.0,570.0,0.0,8105.0,17.94,31.7725752508361
570.0,575.0,545.0,547.0,0.0,21731.0,17.94,30.4905239687848
547.0,550.0,522.0,530.0,0.0,39521.0,17.94,29.5429208472687
530.0,565.0,527.0,545.0,0.0,18853.0,17.94,30.3790412486065
545.0,550.0,525.0,540.0,0.0,18744.0,17.94,30.1003344481605
540.0,542.0,525.0,533.0,0.0,22374.0,17.94,29.7101449275362
533.0,553.0,525.0,535.0,0.0,15416.0,17.94,29.8216276477146
535.0,531.0,505.0,508.0,0.0,20997.0,17.94,28.3166109253066
508.0,545.0,488.0,534.0,0.0,21646.0,17.94,29.7658862876254
534.0,566.0,514.0,562.0,0.0,21579.0,17.94,31.3266443701226
562.0,580.0,555.0,573.0,0.0,21959.0,17.94,31.9397993311037
573.0,582.0,560.0,569.0,0.0,24219.0,17.94,31.7168338907469
569.0,567.0,555.0,555.0,0.0,14632.0,17.94,30.9364548494983
555.0,560.0,528.0,533.0,0.0,15295.0,17.94,29.7101449275362
533.0,545.0,530.0,539.0,0.0,14565.0,17.94,30.0445930880713
539.0,544.0,535.0,539.0,0.0,7217.0,17.94,30.0445930880713
539.0,540.0,534.0,536.0,0.0,8066.0,17.94,29.8773690078038
536.0,538.0,522.0,529.0,0.0,10906.0,17.94,29.4871794871795
529.0,537.0,515.0,530.0,0.0,3967.0,17.94,29.5429208472687
530.0,540.0,521.0,534.0,0.0,9427.0,17.94,29.7658862876254
534.0,537.0,530.0,537.0,0.0,5999.0,17.94,29.933110367893
537.0,537.0,525.0,535.0,0.0,6606.0,17.94,29.8216276477146
535.0,537.0,525.0,525.0,0.0,6368.0,17.94,29.2642140468227
525.0,525.0,512.0,520.0,0.0,5450.0,17.94,28.9855072463768
520.0,519.0,501.0,510.0,0.0,8363.0,17.94,28.4280936454849
510.0,515.0,501.0,514.0,0.0,3320.0,17.94,28.6510590858417
514.0,515.0,493.0,497.0,0.0,9448.0,17.94,27.7034559643255
497.0,505.0,476.0,482.0,0.0,13779.0,17.94,26.8673355629877
482.0,495.0,480.0,486.0,0.0,11911.0,17.94,27.0903010033445
486.0,502.0,494.0,502.0,0.0,15310.0,17.94,27.9821627647715
502.0,516.0,502.0,510.0,0.0,7855.0,17.94,28.4280936454849
